PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
DC-I-15020,"N AND M, INC.", ,1101 14TH ST NW,WASHINGTON,DC,20005,5696,DISTRICT OF COLUMBIA
DC-I-15021,"WINE AND SPIRITS EXPO, LLC",CORK-N-BOTTLE,7421  GEORGIA  AVE NW,WASHINGTON,DC,20012,1721,DISTRICT OF COLUMBIA
DC-I-15022,MILLERCOORS LLC, ,1501 M  ST NW,WASHINGTON,DC,20005,1700,DISTRICT OF COLUMBIA
DC-I-15023,"REPUBLIC NATIONAL DISTRIBUTING COMPANY, LLC",REPUBLIC NATIONAL DISTRIBUTING COMPANY,4235 SHERIFF RD NE,WASHINGTON,DC,20019,3736,DISTRICT OF COLUMBIA
DC-I-15025,"FARMSTEAD WINES, LLC",FARMSTEAD WINES,1301 PENNSYLVANIA AVE NW,WASHINGTON,DC,20004,1716,DISTRICT OF COLUMBIA
DC-I-15027,"VINE ART IMPORTS, LLC", ,1642 ARGONNE PL NW,WASHINGTON,DC,20009,5901,DISTRICT OF COLUMBIA
DC-I-15029,"SPI NORTH AMERICA, INC.", ,1701 PENNSYLVANIA AVE NW,WASHINGTON,DC,20006,5813,DISTRICT OF COLUMBIA
DC-I-15030,"FQZ, LLC",SHERBROOKE CELLARS,2020 K ST NW,WASHINGTON,DC,20006,1806,DISTRICT OF COLUMBIA
DC-I-15031,CAROLYN REYES,TICSA IMPORTS,611 QUINCY ST NW,WASHINGTON,DC,20011,5910,DISTRICT OF COLUMBIA
DC-I-15032,"TRADEWINDS SPECIALTY IMPORTS, LLC", ,1090 VERMONT AVE NW,WASHINGTON,DC,20005,4905,DISTRICT OF COLUMBIA
DC-I-15033,"MASSANOIS IMPORTS, LLC", ,2020 K ST NW,WASHINGTON,DC,20006,1814,DISTRICT OF COLUMBIA
DC-I-15034,CAS CORPORATION, ,1629  K ST NW,WASHINGTON,DC,20006,1631,DISTRICT OF COLUMBIA
DC-I-15035,UNDISPUTED INTERNATIONAL LLC, ,4200 CATHEDRAL AVE NW,WASHINGTON,DC,20016,4934,DISTRICT OF COLUMBIA
