PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
AK-I-15000,ROGER ROM WINE IMPORTS LLC, ,7721 PORT ORFORD DR,ANCHORAGE,AK,99507,6019,ANCHORAGE
AK-I-15002,VERN KINGSFORD,AFRICAN SKY IMPORTS,31702 DEPOT RD,MOOSE PASS,AK,99631,0,KENAI PENINSULA
AK-I-15003,THE ODOM CORPORATION, ,1200 WELL ST,FAIRBANKS,AK,99701,2835,FAIRBANKS NORTH STAR
AK-I-15004,"ANZILOTTI'S TUSCAN MARKET, INC.",ANZILOTTI'S TUSCAN MARKET & DISTRIBUTORSHIP,750 W DIMOND BLVD,ANCHORAGE,AK,99515,1515,ANCHORAGE
AK-I-15005,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,3101 PEGER RD,FAIRBANKS,AK,99709,5454,FAIRBANKS NORTH STAR
AK-I-15006,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1800 SHIP AVE,ANCHORAGE,AK,99501,1809,ANCHORAGE
AK-I-15007,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5452 SHAUNE DR,JUNEAU,AK,99801,9539,JUNEAU
AK-I-15008,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1200 WELL ST,FAIRBANKS,AK,99701,2835,FAIRBANKS NORTH STAR
AK-I-15009,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5152 TOM STILES RD,KODIAK,AK,99615,6718,KODIAK ISLAND
AK-I-15010,ALASKA TEAM IMPORTS, ,814 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,3779,ANCHORAGE
AK-I-21001,DAGGETT L.L.C.,OPEN WINE DISTRIBUTORS,51235  KENAI SPUR HWY,KENAI,AK,99611,0,Kenai Peninsula
AK-I-781,THE ODOM CORPORATION,ODOM COMPANY DIVISION,3101 PEGER RD,FAIRBANKS,AK,99709,5454,FAIRBANKS NORTH STAR
AK-I-782,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,1800 SHIP AVE,ANCHORAGE,AK,99501,1809,ANCHORAGE
AK-I-790,"SPECIALTY IMPORTS, INC.", ,4119 INGRA ST,ANCHORAGE,AK,99503,6117,ANCHORAGE
AK-I-800,LORA LEORA ENGSTROM,BERING SEA INTERNATIONAL,2015 HILLCREST CIR,ANCHORAGE,AK,99503,1740,ANCHORAGE
AK-I-805,THE ODOM CORPORATION,ODOM COMPANY DIVISION,5452 SHAUNE DR,JUNEAU,AK,99801,9539,JUNEAU
AK-I-806,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,5152 TOM STILES RD,KODIAK,AK,99615,6718,KODIAK ISLAND
AK-I-809,"DAVID GREEN & SONS, INC. & SAGAYA CORP PTRS OF DAVID G. J.V.",AERO TRADING,4601 POSTMARK DR,ANCHORAGE,AK,99502,1201,ANCHORAGE
AK-I-810,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,945 ELIZABETH ST,FAIRBANKS,AK,99709,5533,FAIRBANKS NORTH STAR
AK-I-811,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,1543,ANCHORAGE
AK-I-812,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,1759 ANKA ST,JUNEAU,AK,99801,9504,JUNEAU
AK-I-813,JOSEF KOPECKY,J.K. GLOBAL ENTERPRISES,3601 C ST,ANCHORAGE,AK,99503,5952,ANCHORAGE
AK-I-814,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,1543,ANCHORAGE
AK-I-815,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,8420 AIRPORT BLVD,JUNEAU,AK,99801,8064,JUNEAU
AK-I-816,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,945 ELIZABETH ST,FAIRBANKS,AK,99709,5533,FAIRBANKS NORTH STAR
AK-I-819,TURNAGAIN VINES LLC,TURNAGAIN VINES,511 W 41ST AVE,ANCHORAGE,AK,99503,6643,ANCHORAGE
AK-I-820,MIREK KALABUS, ,3401 DAHL LN,FAIRBANKS,AK,99712,0,FAIRBANKS NORTH STAR
AL-I-15000,BLUESTONE BEVERAGE COMPANY LLC, ,153 B CAHABA VALLEY PARKWAY,PELHAM,AL,35124,1144,SHELBY
AL-I-15001,"ALTERNATIVE WINES, LLC", ,214 PATRICIA RD,MADISON,AL,35758,1417,MADISON
AL-I-15004,PASSPORT CAFE LLC,PASSPORT CAFE,336 OLD OAK COVE,CHELSEA,AL,35043,3052,SHELBY
AL-I-15005,INGENIUM WINES LLC,INGENIUM WINES,917 D WILLOWBROOK DR,HUNTSVILLE,AL,35802,3263,MADISON
AL-I-15007,"JAMES STEVENS INTERNATIONAL, LLC", ,108 PORCH LIGHT PL,MADISON,AL,35756,6423,LIMESTONE
AL-I-15008,"BROTHER'S REAL ESTATE HOLDINGS, LLC",JUST CAUSE IMPORTS,23048 HILL RD,SILVERHILL,AL,36576,4105,BALDWIN
AL-I-15009,"ATHENS IMPORTERS, LLC", ,1336 PANORAMA DR,BIRMINGHAM,AL,35216,3013,JEFFERSON
AL-I-15011,"SOUTHERN GLOBAL, INC.", ,8325 HIGHWAY 431 N,ALBERTVILLE,AL,35950,168,MARSHALL
AL-I-15012,VOLONTE WINES, ,13636 HWY 84,EVERGREEN,AL,36401,6408,CONECUH
AL-I-15013,"BROOKLEY INTERNATIONAL DISTRIBUTING, L.L.C.",BROOKLEY INTERNATIONAL WINES,23803 COUNTY ROAD 64,ROBERTSDALE,AL,36567,0,BALDWIN
AL-I-15014,"CHALICE IMPORTS, INC.", ,402 CELTIC DR,MADISON,AL,35758,2629,MADISON
AL-I-15017,"UNIQCO, INC.",MOA USA,3425  LOOKOUT DR,HUNTSVILLE,AL,35801,1020,MADISON
AL-I-15019,"JAY MILLS, INC.",JAYS,1716 BEAR FORK RD,EIGHT MILE,AL,36613,1104,MOBILE
AL-I-15026,"LA EL TORO, LLC",LA EL TORO WINES,302 HARTSIDE RD,OWENS CROSS ROADS,AL,35763,9594,MADISON
AL-I-15028,"HIGHER GROUND ENERGY SOLUTIONS, INC.",SAVASSI CACHACA USA,120 N COURT  ST,FLORENCE,AL,35630,4766,LAUDERDALE
AL-I-15029,AFISKA LLC,VINNE SKLEPY IMPORTERS,3077  LEEMAN FERRY RD SW,HUNTSVILLE,AL,35801,5614,MADISON
AL-I-15030,"OSM Importing, L.L.C.",OSM IMPORTING,169 DAUPHIN ST,MOBILE,AL,36602,3271,MOBILE
AL-I-15031,CLAIR FRANKEL,GREENBERRY WINES,105 LEXINGTON DR,ATHENS,AL,35613,2727,LIMESTONE
AL-I-21001,"SA BRANDS, LLC", ,1332 E TULIP COURT CT,AUBURN,AL,36830,1890,Lee
AL-I-21002,"THOMPSON PINNACLE HOLDINGS, INC.",PINNACLE IMPORTS,3075  MORGAN RD,BESSEMER,AL,35022,6419,Jefferson
AL-I-21003,PITEC CORPORATION, ,3461  OLD GREENVILLE RD RD,EVERGREEN,AL,36401,6847,Conecuh
AL-I-21004,GP IMPORT/EXPORT LLC, ,2204  LAKESHORE DR,BIRMINGHAM,AL,35209,6729,Jefferson
AL-I-21005,"SUNDOWN COMPANIES, L.L.C.",SUNDOWN WINES,1535  MARKET DR NE,ARAB,AL,35016,4494,usa
AL-I-21006,"PAVONE IMPORTING, INC.",PAVONE IMPORTING,25495  RAVENWOOD CIR,DAPHNE,AL,36526,0, 
AL-I-272,"GULF DISTRIBUTING CO. OF MOBILE, L.L.C.", ,3378 MOFFETT RD,MOBILE,AL,36607,1708,MOBILE
AL-I-330,"KLOMAR SHIP SUPPLY CO, INC.", ,2200 PERIMETER RD,MOBILE,AL,36615,1131,MOBILE
AL-I-334,"SUPREME BEVERAGE COMPANY, INC.", ,3217 MESSER AIRPORT HWY,BIRMINGHAM,AL,35222,1259,JEFFERSON
AL-I-335,"INTERNATIONAL WINES, INC.", ,301 SNOW DR,BIRMINGHAM,AL,35209,6340,JEFFERSON
AL-I-349,GEORGIA CROWN DISTRIBUTING CO., ,1330 CORPORATE WOODS DR,ALABASTER,AL,35007,4856,SHELBY
AL-I-351,GEORGIA CROWN DISTRIBUTING CO.,ALABAMA CROWN DISTRIBUTING CO.,402 TWAIN CURV,MONTGOMERY,AL,36117,2210,MONTGOMERY
AL-I-352,GEORGIA CROWN DISTRIBUTING CO.,ALABAMA CROWN DISTRIBUTING CO.,"SHIPYARD ROAD & CROWN DR., CYPRESS INDUSTRIAL PARK ",MOBILE,AL,36619,0,MOBILE
AL-I-355,"B & A DISTRIBUTING COMPANY, INC.", ,1210 NEWELL PKWY,MONTGOMERY,AL,36110,3211,MONTGOMERY
AL-I-358,"GREENE BEVERAGE COMPANY, INC.", ,3100 RICE MINE RD NW,TUSCALOOSA,AL,35406,1508,TUSCALOOSA
AL-I-363,"BIRMINGHAM BUDWEISER DISTRIBUTING, CO., INC.", ,141 INDUSTRIAL DR,BIRMINGHAM,AL,35211,4445,JEFFERSON
AL-I-368,"HYMAX, INC.",KAMIL SHIP SUPPLY,500 SAINT LOUIS ST,MOBILE,AL,36602,2218,MOBILE
AL-I-370,KENNETH J. TOBOLA,INTERNATIONAL WINE ASSOCIATES COMPANY,1513 7TH CT NE,TUSCALOOSA,AL,35406,0,TUSCALOOSA
AL-I-374,RANDALL B. PHILLIPS,"R. B. PHILLIPS, R. B. PHILLIPS IMPORT CO.",2415 LEE RD,CAMP HILL,AL,36850,2900,TALLAPOOSA
AL-I-381,"VINEYARD BRANDS, LLC", ,2000 RESOURCE DR,BIRMINGHAM,AL,35242,2995,SHELBY
AL-I-382,"M & J PERSONAL SELECTIONS, LLC", ,26355 FELL RD,ELBERTA,AL,36530,2768,BALDWIN
AL-I-388,"TEQUILA TONAYAN, INC.", ,2005 ENOLAM BLVD SE,DECATUR,AL,35601,4411,MORGAN
AL-I-389,CYPRESS INTERNATIONAL RESOURCE, ,412 S COURT ST,FLORENCE,AL,35630,5646,LAUDERDALE
AL-I-390,"KEY WORLD ENTERPRISES, LLC",KEY SELECTIONS,1324 FLETCHER ST NW,HUNTSVILLE,AL,35801,4666,MADISON
AL-I-392,"CRUX IMPORTS, INC.", ,901 E SOUTH BLVD,MONTGOMERY,AL,36116,2309,MONTGOMERY
AL-I-393,"ADAMS BEVERAGES, INC.", ,508 WALKER ST,OPELIKA,AL,36801,8600,LEE
AL-I-397,"HORNSBY WINE IMPORTS, INC.", ,108 FAIRCLOTH ST,ANDALUSIA,AL,36420,3412,COVINGTON
AL-I-398,"LATINO WINES, LLC",WORLD WINE IMPORTS,706 DALLAS ST,HUNTSVILLE,AL,35801,4015,MADISON
AL-I-399,"INTERNATIONAL TRADING COMPANY, L.L.C.", ,2451 RICHARD AVE,MOBILE,AL,36606,1825,MOBILE
AL-I-401,"SUPERIOR BEVERAGE, LLC", ,128 DISTRIBUTION DR,HOMEWOOD,AL,35209,6309,JEFFERSON
AL-I-402,"GRASSROOTS WINE WHOLESALERS, LLC", ,3413 5TH AVE S,BIRMINGHAM,AL,35222,2312,JEFFERSON
AL-I-404,"MBC-UNITED WHOLESALE, LLC",MOBILE BEER & WINE COMPANY,966 E INTERSTATE 65 SERVICE RD N,MOBILE,AL,36607,0,MOBILE
AR-I-0224,NED W. DUNCAN,H & M ENTERPRISES,RT 6 BOX 223B-1,PRESCOTT,AR,71857,0,NEVADA
AR-I-15001,"WAS DISTRIBUTORS, LLC", ,111 CENTER ST,LITTLE ROCK,AR,72201,4401,PULASKI
AR-I-15003,"WILLIAMS DISTRIBUTION COMPANY, LLC", ,2702 CADDO STREET,ARKADELPHIA,AR,71923,5332,CLARK
AR-I-15005,LACEWELL GLOBAL MARKETING INC.,LACEWELL GLOBAL IMPORTING,55 LONGLEA CT,LITTLE ROCK,AR,72212,2767,PULASKI
AR-I-15006,"HUNTER ENTERPRISES, INC.",CLA IMPORTS,26815 KANIS RD,LITTLE ROCK,AR,72223,9593,PULASKI
AR-I-15007,MARY JO LUCCHI,PIERPOALI IMPORTS,8 MCKINLEY CIR,LITTLE ROCK,AR,72207,6333,PULASKI
AR-I-15008,GLOBAL JAVA LLC, ,21 W MOUNTAIN ST,FAYETTEVILLE,AR,72701,6092,WASHINGTON
AR-I-15010,"M & C TEQUILAS, LLC", ,5512 GEORGE ANDERSON RD,FAYETTEVILLE,AR,72764,8818,WASHINGTON
AR-I-15012,CASTRO IMPORTS L.L.C, ,3042 N APATITE DR,FAYETTEVILLE,AR,72704,5634,WASHINGTON
AR-I-15013,"PERNOD RICARD USA BOTTLING, LLC",PERNOD RICARD USA,7401 HIGHWAY 45 S,FORT SMITH,AR,72916,9393,SEBASTIAN
AR-I-15014,JEREMY OLIVER SHAPLEY,THE TRITON COLLECTION,1617 MOUNTAIN DR,LITTLE ROCK,AR,72227,5836,PULASKI
AR-I-15015,POST WINERY INC., ,1700 SAINT MARYS MOUNTAIN RD,ALTUS,AR,72821,9001,FRANKLIN
AR-I-210,"ASSOCIATED IMPORTERS, INC.", ,7401 HIGHWAY 45 S,FORT SMITH,AR,72902,0,SEBASTIAN
AR-I-21001,"L & L IMPORTS, LLC", ,813  SW RAINTREE LN,BENTONVILLE,AR,72712,6390,Benton
AR-I-21002,"CPC IMPORTS, LLC", ,523  LOUISIANA ST,LITTLE ROCK,AR,72201,0,Pulaski
AR-I-21003,"L & L IMPORTS, LLC", ,425  W CAPIT0L AVE,LITTLE ROCK,AR,72201,0,PULASKI
AR-I-21004,"THE TRITON COLLECTION, INC", ,1  INNWOOD CIR,LITTLE ROCK,AR,72211,2448,USA
AR-I-21005,RAUL CASTILLA,PRODUCTOS ARTESANOS,305  S LINCOLN ST,LOWELL,AR,72745,0,Benton
AR-I-21006,"LA VOCE, LLC", ,219  RIVER MARKET AVE,LITTLE ROCK,AR,72201,0, 
AR-I-21007,"UNCHARTED VINEYARD IMPORTS, LLC", ,12  THOMAS PARK CIR,LITTLE ROCK,AR,72223,0, 
AR-I-211,HIRAM WALKER - A. V. CORP.,"ALEXANDER DUN AND SONS, LTD.",7401 HIGHWAY 45 S,FORT SMITH,AR,72902,0,SEBASTIAN
AR-I-212,"HIRAM WALKER - G & W, INC.", ,7401 HIGHWAY 45 S,FORT SMITH,AR,72902,0,SEBASTIAN
AR-I-226,"BULLDAVI INTERNATIONAL, INC.", ,2312 RIDGE PARK DR,LITTLE ROCK,AR,72204,3504,PULASKI
AR-I-232,"MOON DISTRIBUTORS, INC.", ,2800 VANCE ST,LITTLE ROCK,AR,72206,3338,PULASKI
AZ-I-15000,AL HARRISON CO.DISTRIBUTORS,AL HARRISON CO. DISTRIBUTORS,561 W GOLD HILLS RD,NOGALES,AZ,85621,3544,SANTA CRUZ
AZ-I-15002,"MAROMEX, LLC", ,24825 N 16TH AVE,PHOENIX,AZ,85027,639,MARICOPA
AZ-I-15005,COSTICA TEODOR NEGREA,EUROMA IMPORTS,11029 N 24TH AVE,PHOENIX,AZ,85029,4710,MARICOPA
AZ-I-15006,"APPIAN WINE & SPIRITS, LLC", ,284 E CHILTON,SCOTTSDALE,AZ,85255,0,MARICOPA
AZ-I-15008,CLASSICO DISTRIBUTOR LLC, ,2209 W 1ST ST,TEMPE,AZ,85281,7245,MARICOPA
AZ-I-15011,"SABINA PRODUCTS, INC.", ,809 E WASHINGTON ST,PHOENIX,AZ,85034,1018,MARICOPA
AZ-I-15012,F & S FINE FOODS LLC, ,2206  E MAGNOLIA ST,PHOENIX,AZ,85034,6817,MARICOPA
AZ-I-15013,"AWESOME WINES OF CALIFORNIA, INC.", ,9124  N CAVE CREEK RD,PHOENIX,AZ,85020,2525,MARICOPA
AZ-I-15014,"YOUNG'S MARKET COMPANY OF ARIZONA, LLC", ,200 S 49TH AVE,PHOENIX,AZ,85043,3805,MARICOPA
AZ-I-15015,"BENJAMIN AND SONS, INC", ,6501 E DREYFUS DR,SCOTTSDALE,AZ,85254,3915,MARICOPA
AZ-I-15018,FRANCISCO R. GONZALEZ,LAS REYNAS DISTRIBUTORS,1665 E 18TH ST,TUCSON,AZ,85719,0,PIMA
AZ-I-15019,"NATIONAL PREMIER SALES & DISTRIBUTION, LLC",NATIONAL PREMIER SALES & DISTRIBUTION,5445 W MISSOURI AVE,GLENDALE,AZ,85301,6040,MARICOPA
AZ-I-15020,"VINIFERA IMPORTS, LTD.",VINIFERA DISTRIBUTING OF ARIZONA,1419 W 12TH PL,TEMPE,AZ,85281,5232,MARICOPA
AZ-I-15021,"S&S SPIRITS, L.L.C.", ,210 W 5TH ST,TUCSON,AZ,85705,8204,PIMA
AZ-I-15022,"MANAGEMENT SERVICES CONSULTANTS, INC.",MSC,4381 N 75TH ST,SCOTTSDALE,AZ,85251,3557,MARICOPA
AZ-I-15023,ROBERT STEVEN ADLER,LE VIN DE BOB,42239 N STONEMARK  DR,ANTHEM,AZ,85086,1035,MARICOPA
AZ-I-15024,TROIANN MARIE CLAWITTER,T-SQUARED IMPORTS,945 E JUANITA,MESA,AZ,85204,6626,MARICOPA
AZ-I-15025,"VINOS DEL SUR, LLC", ,21241 N 23RD AVE,PHOENIX,AZ,85027,2537,MARICOPA
AZ-I-15026,"QUENCH FINE WINES, LTD.", ,2555 N NEVADA ST,CHANDLER,AZ,85225,1046,MARICOPA
AZ-I-15028,"INTERNATIONAL BEVERAGE GROUP, LLC", ,8944 E CONQUISTADORES DR,SCOTTSDALE,AZ,85255,8373,MARICOPA
AZ-I-15029,"VALLEY OF THE SUN, LLC",VALLEY OF THE SUN FINE WINES,7815 S HARDY DR,TEMPE,AZ,85284,1118,MARICOPA
AZ-I-15030,"BLACKMAR BEVERAGE CONSULTING, L.L.C.", ,15029 N THOMPSON PEAK,SCOTTSDALE,AZ,85260,2217,MARICOPA
AZ-I-15031,"FRENCH RIVIERA, LLC", ,3131 E CAMELBACK RD,PHOENIX,AZ,85016,4599,MARICOPA
AZ-I-15033,"M. CAMPBELL & ASSOCIATES, LTD.", ,1640 S 39TH ST,PHOENIX,AZ,85009,6114,MARICOPA
AZ-I-15034,"PIPER PREMIUM BEVERAGES, LLC", ,697 6TH ST,PRESCOTT,AZ,86301,2061,YAVAPAI
AZ-I-15035,"CORPORATE GOURMET, LLC", ,7621 E GRAY RD,SCOTTSDALE,AZ,85260,3423,MARICOPA
AZ-I-15037,BLACK MOUNTAIN BREWING COMPANY INC.,CRAZY ED'S BLACK MOUNTAIN BREWING CO.,5039 E CLOUD,CAVE CREEK,AZ,85331,9046,MARICOPA
AZ-I-15041,VIN IBERIAN WINE MERCHANTS INC.,VIN IBERIAN WINE MERCHANTS,4554 E PARADISE VILLAGE PKWY N,PHOENIX,AZ,85032,6831,MARICOPA
AZ-I-15043,VHW LLC,D & V FINE WINE IMPORTS,109 HIGGINS AVE,BISBEE,AZ,85603,2594,COCHISE
AZ-I-15044,SYMPOSIUM BRANDS LLC,SYMPOSIUM IMPORTS,4340 E INDIAN SCHOOL RD,PHOENIX,AZ,85018,5360,MARICOPA
AZ-I-15045,"LOS DIABLOS INTERNATIONAL, INC.", ,3900 E CAMELBACK RD,PHOENIX,AZ,85018,0,MARICOPA
AZ-I-15047,DELUX IMPORTS L.L.C., ,11260 N 92ND ST,SCOTTSDALE,AZ,85260,6170,MARICOPA
AZ-I-15050,"GRAND CRU EXPRESS, LLC", ,15905 N 81ST ST,SCOTTSDALE,AZ,85260,1802,MARICOPA
AZ-I-15051,"TMC ENTERPRISES, INC.", ,8712 E VIA DE COMMERCIO,SCOTTSDALE,AZ,85259,3362,MARICOPA
AZ-I-15052,"JALISCO INTERNATIONAL IMPORTS, INC.", ,3712 E PALMER ST,GILBERT,AZ,85298,8871,MARICOPA
AZ-I-15053,"DOMINICAN HABITAT, LLC",DOMINICAN HABITAT,1642 E HALIFAX ST,MESA,AZ,85203,3919,MARICOPA
AZ-I-15054,"SOUTHERN WINE & SPIRITS OF AMERICA, INC.",SOUTHERN WINE & SPIRITS OF ARIZONA,2375 S 45TH AVE,PHOENIX,AZ,85043,3900,MARICOPA
AZ-I-15056,AMANTE WINE DISTRIBUTING, ,2425 E THOMAS RD,PHOENIX,AZ,85016,7944,MARICOPA
AZ-I-15057,"TRUE BLUE IMPORTS, LLC", ,9375 E SHEA BLVD,SCOTTSDALE,AZ,85260,6991,MARICOPA
AZ-I-15058,"BILTMORE BUSINESS GROUP, LLC",WILD VINE,4850  BASELINE RD,MESA,AZ,85206,4626,MARICOPA
AZ-I-15060,"UETA OF ARIZONA, INC.", ,301 CHIRACAHUA ST,DOUGLAS,AZ,85607,2879,COCHISE
AZ-I-15061,CREO COMMERCIUM INC., ,3118 W THOMAS RD,PHOENIX,AZ,85017,5308,MARICOPA
AZ-I-15062,"VILLA BRANDS, LLC", ,15905 N GREENWAY HAYDEN LOOP,SCOTTSDALE,AZ,85260,1730,MARICOPA
AZ-I-15064,ESCORPION NEGRO CORPORATION,ESCORPION NEGRO,8750 E SHARON DR,SCOTTSDALE,AZ,85260,4122,MARICOPA
AZ-I-15068,BRAD-BAYERN ENTERPRISES LLC, ,3830 E 44TH ST,TUCSON,AZ,85713,6825,PIMA
AZ-I-15071,"SIGNATURE WINE & FOOD, LLC",SIGNATURE WINE & FOOD,27717 N 61ST PL,SCOTTSDALE,AZ,85266,6743,MARICOPA
AZ-I-15073,"WEST COAST BEVERAGE, LLC",CANE SPIRITS,24746 N 76TH PL,SCOTTSDALE,AZ,85255,2778,MARICOPA
AZ-I-15074,GLOBE DISTRIBUTING INC, ,3275 S HIGHWAY 389,COLORADO CITY,AZ,86021,0,MOHAVE
AZ-I-15075,HENSLEY & COMPANY,JAMES W IMPORTS,2555 N NEVADA ST,CHANDLER,AZ,85225,1046,MARICOPA
AZ-I-15076,HENSLEY & COMPANY,JAMES W IMPORTS,4201 N 45TH AVE,PHOENIX,AZ,85031,2109,MARICOPA
AZ-I-15077,HENSLEY & COMPANY,JAMES W IMPORTS,10201 E VALLEY RD,PRESCOTT VALLEY,AZ,86314,2332,YAVAPAI
AZ-I-15079,"UA IMPORTS, INC.", ,2234 S MCCLINTOCK DR,TEMPE,AZ,85282,2675,MARICOPA
AZ-I-15081,"L & L CHUY DISTRIBUTING, L.L.C.", ,565 E Z ST,PRESCOTT,AZ,86301,2614,YAVAPAI
AZ-I-15085,EVIL MOON SPIRITS LLC, ,15955 N DIAL BLVD,SCOTTSDALE,AZ,85260,1636,MARICOPA
AZ-I-15086,"ALLIANCE BEVERAGE DISTRIBUTING COMPANY, LLC", ,3535 E COLUMBIA ST,TUCSON,AZ,85714,3438,PIMA
AZ-I-15088,"UETA OF ARIZONA, INC.", ,421 N MARIPOS HWY,NOGALES,AZ,85621,2437,SANTA CRUZ
AZ-I-15089,"SABACA BEVERGE GROUP - ARIZONA, INC.", ,3143  W LEWIS AVE,PHOENIX,AZ,85009,1510,MARICOPA
AZ-I-15090,"PASOFINO WINES AND SPIRITS, LLC", ,1733 E MCKELLIPS RD,TEMPE,AZ,85281,1372,MARICOPA
AZ-I-15091,"ESPIRITUS, LLC", ,36600 N PIMA RD,CAREFREE,AZ,85377,0,MARICOPA
AZ-I-15093,"PAGE SPRINGS CELLARS, INC.",PAGE SPRINGS CELLARS,1500 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,6008,YAVAPAI
AZ-I-15095,"PRASA, INC", ,9151 W MONROE ST,TOLLESON,AZ,85353,2935,MARICOPA
AZ-I-15096,"TAPPA IMPORT-EXPORT, L.L.C.",TAPPA IMPORT-EXPORT,5218 E ARROYO RD,PARADISE VALLEY,AZ,85253,3322,MARICOPA
AZ-I-15097,"DEL BRAVO IMPORTS, INC.",DEL BRAVO IMPORTS,2102 N FORBES BLVD,TUCSON,AZ,85745,0,PIMA
AZ-I-15099,"TRES CENZONTLES IMPORTS, LLC", ,1155 N GRANITE ST,GILBERT,AZ,85234,3630,MARICOPA
AZ-I-15100,NATIVE SPIRITS LIMITED, ,7735 E GELDING  DR,SCOTTSDALE,AZ,85260,6932,MARICOPA
AZ-I-15101,"THE BONITA SPIRITS COMPANY, LLC", ,4809 E THISTLE LANDING DR,PHOENIX,AZ,85044,6498,MARICOPA
AZ-I-15102,"SARACENI USA, LLC", ,13073 N 98TH PL,SCOTTSDALE,AZ,85260,4453,MARICOPA
AZ-I-15103,SAPIENZA IMPORT INC., ,1933 E WILLETTA ST,PHOENIX,AZ,85006,3050,MARICOPA
AZ-I-15104,"SUNSET WINE & SPIRITS DISTRIBUTING COMPANY, LLC",THE SPANISH WINE CENTER OF AMERICA,7741 E GRAY RD,SCOTTSDALE,AZ,85260,3484,MARICOPA
AZ-I-15105,"NIELSEN SPIRITS, INC.", ,2740 E FRIESS DR,PHOENIX,AZ,85032,8612,MARICOPA
AZ-I-15106,DIAMONDBACK WINE & SPIRITS LLC, ,2440 W LINCOLN AVE,PHOENIX,AZ,85009,5860,MARICOPA
AZ-I-15107,"THREE RING PRODUCTIONS, LLC",CIRCO VINO,222 N COURT AVE,TUCSON,AZ,85701,1032,PIMA
AZ-I-15108,BELLA LUNA BEVERAGES LLC, ,4850 E SPEEDWAY,TUCSON,AZ,85712,4733,PIMA
AZ-I-15109,"UETA OF ARIZONA, INC.", ,70  N FREEPORT  DR,NOGALES,AZ,85621,2409,SANTA CRUZ
AZ-I-15110,"UETA OF ARIZONA, INC.", ,50 N TERRACE AVE,NOGALES,AZ,85621,0,SANTA CRUZ
AZ-I-15111,"UETA OF ARIZONA, INC.", ,53 GRAND AVE,NOGALES,AZ,85621,3210,SANTA CRUZ
AZ-I-15112,D'LIZZ LLC, ,1030 W FAIRWAY  DR,NOGALES,AZ,85621,0,SANTA CRUZ
AZ-I-15113,"PACIFIC EDGE WINE AND SPIRITS OF ARIZONA, INC.",PACIFIC EDGE WINE & SPIRITS OF ARIZONA,1302 W 23RD ST,TEMPE,AZ,85282,0,MARICOPA
AZ-I-15115,"TADEUS WINE AND SPIRITS, INC.", ,860 E 16TH ST,TUCSON,AZ,85719,0,PIMA
AZ-I-20000,TERRY M MOORHEAD,TNA WINE,4559 E QUAIL TRACK DR,CAVE CREEK,AZ,85331,2677,Maricopa
AZ-I-21001,QRJ SPIRITS LLC,QRJ SPIRITS,1042 N HIGLEY RD,MESA,AZ,85205,5398,MARICOPA
AZ-I-21002,"SALUD SPIRITS, INC.", ,1628  E SOUTHERN AVE,TEMPE,AZ,85282,5781,Maricopa
AZ-I-21003,CORDON DISTRIBUTORS L.L.C., ,6260 N TRAVEL CENTER DR,MARANA,AZ,85741,0,Pima
AZ-I-21004,"DIRTY IMPORTS, LLC", ,4815 E CAREFREE HWY,CAVE CREEK,AZ,85331,4717,Maricopa
AZ-I-21005,IL VOLO IMPORTS LLC,IL VOLO IMPORTS,16033 N 77 ST N,SCOTTSDALE,AZ,85260,1218, 
AZ-I-21006,"INCA TRAIL TRADING COMPANY, LLC", ,17470 N PACESETTES WAY,SCOTTSDALE,AZ,85255,5388, 
AZ-I-21007,"TEQUILERA OCHO MESAS, LLC", ,8700 E VISTA BONITA DR,SCOTTSDALE,AZ,85255,3203, 
AZ-I-21008,MARIA A. MAULDIN,JOVA'S DISTRIBUTION CENTER,7264  E LOMITA AVE,MESA,AZ,85209,4915,MARICOPA
AZ-I-21009,"LOS OSUNA TEQUILA DISTRIBUTING, LLC", ,4705  E CAREFREE HWY,PHOENIX,AZ,85331,4744,Maricopa
